,Chr X,Chr 1,Chr 2,Chr 3,Chr 4,Chr 5,Chr 6,Chr 7,Chr 8,Chr 9,Chr 10,Chr 11,Chr 12,Chr 13,Chr 14,Chr 15,Chr 16,Chr 17,Chr 18,Chr 19,Chr 20,Chr 21,Chr 22,Chr Y
Chr X,167,0,1,1,0,0,0,0,1,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Chr 1,1,65,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Chr 2,0,3,64,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 3,0,0,0,67,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Chr 4,0,0,0,0,62,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 5,1,0,0,0,6,193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 6,1,0,1,1,0,0,65,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chr 7,2,0,0,0,0,0,1,60,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 8,0,0,0,0,0,0,0,1,59,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 9,16,0,1,0,0,1,1,1,8,225,2,2,0,0,0,0,0,0,1,2,0,0,0,0
Chr 10,1,0,0,0,0,1,0,0,1,1,62,0,0,0,0,0,2,0,2,0,0,0,0,0
Chr 11,0,0,0,0,0,1,0,0,0,1,0,61,6,0,0,0,0,1,0,0,0,0,0,0
Chr 12,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,0,1,0,1,0,0,0,0
Chr 13,0,0,0,0,0,0,1,0,0,0,0,0,0,63,2,2,0,1,0,0,0,0,0,1
Chr 14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,4,0,0,1,0,0,0,0,2
Chr 15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,61,1,0,0,0,0,0,0,1
Chr 16,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,60,0,1,1,0,1,0,2
Chr 17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,65,1,0,0,0,0,1
Chr 18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,163,1,0,0,0,6
Chr 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,4,0
Chr 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,1,0
Chr 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1
Chr 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,60,1
Chr Y,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,5,0,0,2,2,253
